index	center_x	center_y	area	snakeiterations
0	1024	54	648	22
1	1013	141	3716	49
2	1014	150	3983	128
3	1014	678	9450	15
4	990	1684	16248	17
5	996	1121	16053	19
6	985	1833	11214	19
7	974	538	17884	27
8	954	246	17604	59
9	954	246	17569	0
10	946	86	14056	22
11	947	1481	16625	20
12	907	1625	5766	17
13	939	821	15843	19
14	895	1240	14850	27
15	882	926	9638	17
16	866	594	13700	19
17	829	1635	3856	16
18	846	147	11159	22
19	847	313	19279	19
20	891	1013	19371	19
21	883	711	20172	18
22	867	1738	18238	20
23	819	879	4744	17
24	844	1146	13964	21
25	839	1534	13677	21
26	791	1331	12126	17
27	753	1750	9116	15
28	767	1249	5583	13
29	760	425	11420	25
30	759	809	17300	25
31	730	1611	13829	20
32	732	286	19966	24
33	691	1388	10581	23
34	729	94	15602	21
35	716	955	16920	21
36	672	1286	5080	8
37	695	1188	14425	22
38	674	1768	16751	13
39	707	1071	13784	21
40	656	203	16644	33
41	685	601	18214	23
42	631	708	5890	19
43	612	349	4831	15
44	632	456	15571	27
45	596	1424	18171	22
46	581	817	16096	30
47	531	362	6610	14
48	551	1175	17004	30
49	552	1714	17232	17
50	550	226	18222	29
51	521	1315	12960	17
52	531	958	19441	22
53	513	511	18100	23
54	504	739	20313	27
55	464	1544	12299	17
56	422	918	10477	16
57	447	1813	16214	19
58	428	1052	10466	19
59	446	1422	16917	27
60	428	464	13772	21
61	420	1265	16647	17
62	419	715	11349	32
63	430	339	15522	34
64	371	1584	15623	22
65	357	92	16080	17
66	349	594	15006	19
67	319	1323	10857	21
68	321	1123	15705	25
69	318	962	16428	31
70	329	816	14329	25
71	280	1563	4121	9
72	277	691	5421	16
73	299	1452	15684	15
74	303	485	15815	25
75	280	1673	15378	17
76	212	1728	8795	13
77	215	1162	12412	21
78	225	235	17024	20
79	205	662	17536	22
80	205	1000	12209	25
81	183	1514	16377	17
82	160	1633	2751	13
83	178	1313	14320	21
84	174	1812	8524	27
85	186	135	19313	23
86	125	1068	5061	29
87	162	905	15470	18
88	107	393	5046	16
89	97	1718	16705	17
90	95	299	13692	17
91	84	1540	14914	17
92	75	1368	9352	16
93	102	1222	16777	20
