index	center_x	center_y	area	snakeiterations
0	1015	178	3143	17
1	991	626	4102	15
2	987	255	4978	13
3	994	692	3920	13
4	995	527	10429	11
5	979	1414	6903	15
6	956	175	3824	13
7	967	75	10169	11
8	974	1689	11746	9
9	948	788	12295	15
10	914	901	2856	9
11	921	1625	5574	13
12	930	1019	11585	13
13	910	359	1777	9
14	949	303	457	19
15	953	317	133	1
16	908	1842	10064	9
17	896	1299	10422	33
18	851	1753	4000	10
19	850	211	6065	11
20	838	1360	4142	12
21	854	314	13113	15
22	842	1440	7810	11
23	838	1684	8289	17
24	788	393	3059	10
25	785	235	3538	13
26	822	537	16577	15
27	804	98	12664	17
28	777	1493	4258	17
29	747	161	3663	17
30	741	566	2887	9
31	771	1581	15009	14
32	739	1773	9876	8
33	729	277	13237	14
34	690	341	3794	13
35	685	434	16442	18
36	701	1449	19957	15
37	605	1633	19213	29
38	552	1738	5700	17
39	554	107	12864	25
40	551	426	9220	15
41	526	244	10087	13
42	488	1787	4614	13
43	491	1670	11398	21
44	484	566	11386	36
45	446	436	4249	13
46	462	336	11930	14
47	528	317	2702	23
48	414	1731	3282	9
49	423	200	5538	15
50	403	822	13631	19
51	372	1899	1105	11
52	372	672	3898	13
53	366	929	4309	9
54	381	580	8940	9
55	372	238	5574	17
56	352	1621	4461	9
57	395	1515	20750	57
58	376	471	16926	23
59	339	1787	4413	21
60	403	1828	10919	19
61	327	845	3048	19
62	331	1027	7962	21
63	291	684	4586	26
64	292	1532	6264	10
65	293	583	10239	15
66	323	311	12738	17
67	271	1154	4196	12
68	285	916	7942	16
69	266	442	7976	15
70	267	1676	11937	16
71	218	1772	3176	7
72	225	1094	14543	23
73	203	978	15154	17
74	167	655	4270	9
75	146	746	6977	13
76	128	1053	4317	12
77	151	1713	11225	14
78	195	1554	16473	17
79	137	1348	4363	15
80	122	1615	4201	10
81	152	1190	18285	26
82	108	611	4401	11
83	123	1834	3834	13
84	61	1794	1019	25
85	124	1798	1527	13
86	70	760	3521	10
87	67	958	4333	9
88	56	1708	5166	18
89	41	1662	750	27
90	811	695	12479	24
91	791	1011	17738	12
92	795	836	15003	23
93	727	899	3682	11
94	717	776	4501	11
95	698	671	12182	13
96	694	1155	17776	21
97	657	897	8046	15
98	635	822	4365	13
99	673	1015	16218	17
100	632	738	6779	15
101	600	1102	3289	10
102	587	975	4107	12
103	605	1205	6582	17
104	558	817	16439	23
105	513	1150	3985	11
106	509	936	12269	19
107	435	1295	3129	21
108	490	1067	18580	19
109	400	1183	11268	45
110	511	1241	15993	17
111	320	1323	14192	41
112	238	1407	3564	31
113	95	141	4333	15
114	90	68	12143	58
115	178	566	10967	43
