index	center_x	center_y	area	snakeiterations
0	1033	1592	3628	15
1	1031	546	2569	33
2	1008	935	8598	19
3	978	1852	2180	22
4	1005	176	13622	33
5	983	1768	6607	36
6	988	1727	12494	132
7	970	1194	5401	20
8	986	816	15292	198
9	986	816	15288	86
10	945	1543	3278	16
11	955	1622	4562	16
12	993	1294	14534	17
13	972	382	16580	27
14	933	158	4826	11
15	939	282	8938	22
16	925	976	8898	17
17	903	1719	10660	23
18	921	1453	12369	27
19	903	1834	7336	15
20	912	1107	18256	57
21	883	1256	12671	19
22	873	512	7316	11
23	858	618	4415	16
24	859	1580	12424	26
25	860	338	16460	36
26	825	1839	4515	17
27	861	841	20634	29
28	843	167	18753	27
29	807	1713	15955	41
30	771	910	6110	79
31	771	910	6139	99
32	782	712	15672	40
33	753	207	5294	17
34	748	1046	3977	20
35	768	575	15496	20
36	771	437	20443	23
37	741	1824	8191	31
38	736	321	10489	19
39	709	1137	2670	10
40	725	105	12701	50
41	671	420	2628	19
42	687	990	9508	90
43	860	1395	8313	102
44	860	1395	8284	147
45	668	612	9231	18
46	693	1238	17038	22
47	702	1538	16973	23
48	702	1416	13966	18
49	646	1781	4807	18
50	655	1101	9074	17
51	661	268	16945	29
52	663	759	19757	20
53	660	1668	14919	30
54	595	1181	4050	16
55	598	1519	4380	17
56	607	865	8713	24
57	614	458	18385	31
58	624	1363	15934	13
59	556	1464	6057	17
60	572	1610	7879	14
61	576	624	16732	31
62	545	747	4936	13
63	557	1276	12460	23
64	550	1745	15523	24
65	570	1034	20341	26
66	486	1153	18628	34
67	500	885	20817	23
68	472	1449	19165	21
69	436	94	5386	31
70	462	1619	15335	15
71	437	1300	13981	21
72	371	1617	1995	13
73	414	1760	10515	12
74	375	243	14974	44
75	369	1471	18468	25
76	341	1712	11621	13
77	305	1820	1910	9
78	306	1568	9613	14
79	277	205	2647	24
80	250	1807	6858	10
81	211	1096	5227	41
82	240	1679	16762	18
83	206	547	6862	27
84	243	363	13899	15
85	244	450	20106	91
86	192	1211	15786	21
87	171	1803	7597	17
88	216	274	19345	25
89	127	377	4745	16
90	140	580	9375	18
91	156	1345	10393	21
92	152	182	12257	17
93	95	1293	5529	9
94	111	1439	8958	13
95	107	1142	14977	15
96	56	1087	2617	11
97	79	654	15565	19
98	64	320	14492	19
99	367	498	4753	15
100	322	624	16711	33
101	310	791	16203	19
102	295	951	8037	43
103	302	965	4776	82
104	215	730	13084	24
105	211	888	15946	37
106	122	851	12041	27
107	60	903	3092	45
