index	center_x	center_y	area	snakeiterations
0	1013	167	6429	74
1	1009	1459	6653	22
2	977	747	11450	21
3	986	1307	18897	23
4	980	1102	14554	28
5	895	436	13386	159
6	978	310	20881	23
7	965	917	22058	54
8	928	108	18041	60
9	899	1565	17828	91
10	899	1558	16738	0
11	898	1553	15951	0
12	894	506	3271	73
13	897	428	15424	121
14	907	1725	18204	25
15	874	221	14729	29
16	892	600	21499	30
17	877	1006	20446	24
18	819	1594	4374	12
19	853	750	22665	30
20	791	1730	8658	17
21	816	1434	19864	27
22	788	253	7034	28
23	767	638	8752	31
24	774	402	16356	33
25	779	888	17982	39
26	752	1267	20813	27
27	773	98	17270	21
28	727	1574	20844	23
29	710	516	17753	27
30	704	736	19665	116
31	704	736	19661	186
32	660	1237	5891	19
33	673	1385	19632	27
34	662	330	15137	32
35	634	1618	7911	18
36	670	1722	15505	21
37	680	208	17868	26
38	621	52	11875	16
39	599	811	21210	23
40	597	1137	19467	40
41	667	1144	2170	36
42	597	141	12056	20
43	581	1506	17102	26
44	562	1333	15953	24
45	577	524	20980	44
46	562	362	20733	21
47	508	1209	9289	32
48	522	1639	16945	34
49	509	689	11334	29
50	480	544	5641	22
51	463	1489	13220	20
52	477	73	12067	15
53	451	400	11156	35
54	469	833	19323	46
55	448	1103	16609	28
56	467	173	14025	13
57	432	272	15544	25
58	444	1334	19544	42
59	381	770	9850	22
60	397	484	10920	24
61	366	1216	16086	19
62	365	1756	13431	38
63	366	645	21103	43
64	373	1569	18317	32
65	310	247	16513	22
66	310	396	17114	21
67	311	1421	20320	26
68	241	1528	5226	17
69	318	120	14098	47
70	260	1258	17860	41
71	248	1724	13044	19
72	276	825	23338	27
73	278	1085	22876	51
74	228	606	18309	27
75	206	242	16510	17
76	198	731	10016	19
77	190	406	14286	31
78	176	1362	20109	40
79	149	1516	12928	23
80	142	1124	21693	24
81	109	244	13999	25
82	78	1410	4801	13
83	109	818	21038	46
84	101	604	18316	23
85	136	1705	19202	30
86	72	1261	17972	63
87	63	1181	2595	39
88	57	1808	7701	32
89	415	569	232	4
