index	center_x	center_y	area	snakeiterations
0	1015	1143	2074	21
1	1016	1875	2546	15
2	1000	1652	2376	11
3	976	666	4055	9
4	984	912	9544	13
5	970	1735	11071	15
6	960	325	4259	17
7	993	1017	12616	22
8	965	1403	13624	13
9	983	76	12138	16
10	959	504	11959	24
11	920	1626	5962	9
12	929	1291	5505	11
13	971	801	15493	18
14	907	144	7646	23
15	876	337	4647	16
16	908	1198	13857	18
17	908	577	8229	11
18	890	250	11953	19
19	886	1094	15128	60
20	886	1094	15126	171
21	922	408	15796	13
22	844	973	4318	11
23	806	1556	3177	19
24	864	828	11598	13
25	857	639	13859	17
26	841	1718	14526	23
27	816	1626	7845	11
28	836	1454	16887	22
29	792	1289	8654	18
30	808	491	14192	91
31	808	491	14233	147
32	779	1813	5072	13
33	766	556	2456	12
34	783	315	9128	14
35	828	906	15455	33
36	786	750	12484	19
37	766	201	14604	63
38	766	201	14602	149
39	677	1452	101	8
40	684	1457	29	1
41	705	831	6490	22
42	693	700	8206	26
43	713	380	10301	20
44	703	90	10575	35
45	679	1862	4885	10
46	703	1401	9958	16
47	699	1060	11917	17
48	681	1743	14070	16
49	706	1172	18633	18
50	695	581	10724	19
51	698	1537	17112	15
52	666	291	9805	15
53	677	478	9848	23
54	688	74	13840	0
55	688	76	14336	0
56	688	77	14561	133
57	688	77	14438	115
58	610	647	3701	14
59	598	1106	3056	10
60	631	955	12382	19
61	660	1311	17523	21
62	593	1278	5921	15
63	576	280	5885	14
64	597	1582	11163	14
65	574	1739	5632	16
66	578	1035	6452	18
67	543	1266	2774	14
68	584	126	19039	0
69	576	108	13635	0
70	607	165	17895	36
71	599	734	15112	19
72	566	501	12206	25
73	555	362	12483	11
74	556	1828	20421	20
75	510	610	11860	38
76	516	1647	17102	23
77	506	1468	14487	17
78	458	1549	1792	11
79	528	1178	16128	21
80	436	1728	3387	11
81	439	1844	8607	18
82	460	1073	15390	16
83	468	969	14805	17
84	437	1272	8783	20
85	405	1464	3952	11
86	428	113	12845	26
87	496	230	13084	55
88	430	800	16172	39
89	536	880	10987	22
90	430	800	16169	170
91	398	899	5170	10
92	403	1382	10146	14
93	394	1639	10880	23
94	376	1172	9142	21
95	339	1407	1953	19
96	357	666	8052	35
97	304	1453	6272	11
98	302	927	5292	11
99	356	733	2128	31
100	333	1542	16864	23
101	313	564	17349	15
102	312	1721	12879	22
103	300	792	13756	20
104	307	332	13021	19
105	340	1778	155	13
106	254	655	4978	25
107	274	428	16470	17
108	271	222	14552	19
109	257	111	12923	20
110	251	1340	14035	16
111	225	858	11871	25
112	226	1647	14120	25
113	215	1436	5251	17
114	200	753	3578	41
115	256	1198	15649	21
116	252	1097	17343	19
117	249	989	18478	15
118	168	1750	1774	21
119	178	1778	4336	72
120	185	273	5235	20
121	193	526	12183	18
122	126	913	4300	13
123	145	1354	11201	17
124	107	264	2822	9
125	161	1503	14639	25
126	117	1121	5112	15
127	141	381	16328	19
128	120	1016	9980	19
129	102	1423	3205	15
130	120	800	14822	33
131	127	140	19789	19
132	87	508	2791	11
133	111	1641	9256	15
134	59	1820	1799	14
135	121	622	18698	22
136	53	850	3195	9
137	172	1581	213	14
138	146	1200	205	22
139	21	728	219	1
