index	center_x	center_y	area	snakeiterations
0	1017	49	1891	9
1	1022	1030	4887	10
2	998	1852	1663	24
3	994	855	4482	11
4	981	1150	18533	29
5	971	1668	21721	146
6	977	1617	12022	86
7	956	91	10919	12
8	991	327	17717	22
9	955	955	15396	22
10	936	824	3812	15
11	922	710	11241	17
12	978	643	10927	18
13	931	502	15783	18
14	871	721	233	9
15	873	763	560	13
16	876	846	2612	21
17	882	581	2904	17
18	877	1154	2792	14
19	884	1240	6769	11
20	856	141	6916	10
21	842	1533	4261	15
22	834	835	7381	10
23	831	1624	4433	13
24	812	195	1871	12
25	844	1020	15129	20
26	803	1729	10622	15
27	807	659	14188	21
28	815	1260	13736	11
29	792	104	5699	11
30	773	766	4977	11
31	790	1128	7256	15
32	771	1039	3806	11
33	797	396	10011	13
34	769	900	12610	14
35	774	1449	13404	18
36	729	483	2795	17
37	736	1576	11220	15
38	698	545	4407	21
39	699	43	2852	12
40	682	1699	7177	16
41	676	1089	3599	13
42	669	384	2348	11
43	710	232	8593	13
44	705	117	13227	13
45	662	1229	10178	19
46	649	768	2809	13
47	655	668	14081	17
48	647	956	14481	13
49	610	1284	3849	16
50	626	569	5548	14
51	598	233	2181	11
52	603	1367	5434	15
53	606	415	10689	8
54	610	304	7618	17
55	697	314	7607	18
56	610	139	13814	25
57	577	1213	2357	12
58	586	990	3639	9
59	578	780	8307	18
60	587	1094	18138	17
61	546	1272	3436	15
62	557	635	9457	21
63	515	430	4639	17
64	514	319	5386	12
65	518	110	7657	13
66	523	1376	15945	10
67	481	974	3645	13
68	504	689	5090	9
69	490	796	18971	11
70	491	1146	10610	11
71	460	1222	11155	15
72	446	138	3413	11
73	445	504	13811	11
74	426	880	5426	17
75	442	358	12211	9
76	482	213	13628	21
77	414	252	2855	23
78	440	1024	15108	23
79	338	421	4291	14
80	335	128	3576	15
81	327	517	8274	11
82	292	406	2831	11
83	308	625	8279	9
84	318	1854	12437	13
85	307	311	11876	21
86	253	175	3094	16
87	258	662	3309	17
88	254	105	3031	14
89	248	546	7268	13
90	224	439	11174	11
91	206	1519	4161	21
92	209	937	5040	14
93	188	281	5098	17
94	204	687	8886	10
95	186	591	4906	13
96	188	1653	10576	11
97	189	151	10017	19
98	137	720	1956	13
99	151	1472	5605	15
100	159	1019	9265	16
101	161	1356	12687	20
102	125	927	3458	11
103	126	337	3178	13
104	120	246	5933	13
105	151	849	13195	14
106	113	1578	13495	13
107	278	74	53	3
108	281	75	378	24
109	290	96	743	8
110	105	436	10974	19
111	86	751	7121	11
112	64	129	2486	26
113	75	606	10844	16
114	86	1750	14043	19
115	56	985	15745	12
116	332	798	3064	14
117	300	880	11306	19
118	408	1436	3410	9
119	392	1551	9111	13
120	387	1311	7589	17
121	341	1318	4144	10
122	315	1542	13333	12
123	323	1147	12667	10
124	321	1415	8768	10
125	270	1264	15200	21
126	141	1180	9642	13
127	82	1183	3915	12
128	37	759	6242	30
129	28	489	3748	24
130	18	599	706	14
131	29	270	2115	35
