index	center_x	center_y	area	snakeiterations
0	1007	1283	7741	18
1	977	1540	14634	17
2	970	461	17211	19
3	947	751	14673	19
4	969	1181	18252	17
5	918	1420	15395	21
6	886	1641	17194	26
7	859	923	12827	26
8	896	1081	30542	24
9	879	588	18154	22
10	851	1300	19256	28
11	839	750	23071	22
12	784	610	4032	16
13	811	1468	21166	24
14	783	483	13267	20
15	758	957	15611	15
16	755	1584	13664	23
17	746	822	7431	19
18	772	1717	18568	31
19	791	197	27311	20
20	727	1309	11892	24
21	749	1140	24578	23
22	691	730	18601	16
23	690	590	18679	24
24	655	906	18437	20
25	668	1438	18942	30
26	662	194	15375	25
27	626	1261	18152	18
28	628	1699	18045	21
29	619	362	17448	19
30	622	1573	15503	15
31	580	1798	10294	20
32	614	1104	22346	15
33	547	1340	8412	17
34	565	730	19698	36
35	544	906	15735	20
36	553	248	17375	20
37	528	1036	17011	26
38	518	1458	23940	24
39	484	1244	17011	16
40	493	61	10662	15
41	481	490	19814	22
42	443	1545	8065	15
43	461	822	10427	18
44	477	1651	19040	28
45	457	350	19864	23
46	418	1100	13865	21
47	395	1227	7650	23
48	393	947	20789	26
49	357	290	13028	26
50	421	174	21413	18
51	365	590	17971	28
52	373	1380	20706	28
53	341	1799	15806	15
54	325	465	14648	30
55	304	1280	12916	23
56	316	1509	19769	21
57	318	1645	19905	22
58	302	1101	21736	30
59	259	346	18306	33
60	280	721	21522	40
61	237	67	15871	28
62	243	899	14464	21
63	226	618	12583	17
64	207	1701	17147	13
65	203	186	13426	21
66	196	1465	18263	25
67	192	522	15312	19
68	203	1255	24936	24
69	160	1581	5840	15
70	151	427	10407	33
71	125	1807	5505	15
72	147	987	19270	25
73	113	1359	11617	33
74	130	787	16050	25
75	101	84	15224	35
76	57	931	4889	17
77	55	1832	2504	17
78	558	570	55428	26
79	873	381	20927	47
80	984	277	21288	31
