index	center_x	center_y	area	snakeiterations
0	1045	861	4308	55
1	1044	921	815	17
2	1039	283	3415	12
3	1017	1365	1145	21
4	1021	1264	2026	27
5	1013	536	4134	11
6	1015	177	4392	33
7	1012	1494	9893	21
8	1003	1111	7536	15
9	981	275	6614	13
10	970	1045	5020	16
11	968	1662	3281	12
12	993	425	10558	13
13	955	1580	4380	18
14	983	661	15790	37
15	980	943	11969	16
16	946	774	4633	11
17	923	241	3353	13
18	973	1732	12069	21
19	938	1457	10879	17
20	938	1325	15086	23
21	948	139	15553	17
22	927	1187	13413	23
23	918	395	14306	21
24	910	551	16218	19
25	866	1397	3993	13
26	891	1065	10061	19
27	857	122	4028	9
28	881	711	7608	15
29	894	854	12936	35
30	863	1617	9815	12
31	829	1192	9702	14
32	822	1302	9904	19
33	839	322	14611	12
34	799	433	10630	34
35	813	793	10430	20
36	812	233	11720	19
37	793	1527	16387	17
38	780	549	12039	16
39	767	144	12314	22
40	754	1655	6963	19
41	745	1418	12118	22
42	785	969	14989	25
43	725	486	3578	12
44	736	892	11220	34
45	776	672	16806	16
46	698	772	3674	20
47	706	278	7699	25
48	711	1110	14714	18
49	666	1045	3796	13
50	667	547	6437	14
51	670	644	12458	18
52	679	399	16106	17
53	618	1388	6853	15
54	616	753	7411	17
55	632	853	13065	15
56	602	85	4454	13
57	621	1232	15595	31
58	565	1138	4341	15
59	594	982	16779	17
60	581	1522	16144	17
61	586	524	15140	25
62	533	1447	2462	11
63	555	196	12032	15
64	533	916	2758	14
65	541	651	12131	22
66	536	1327	16079	26
67	517	849	7370	17
68	534	1717	11973	15
69	482	1526	3925	17
70	505	752	12416	21
71	467	1426	7224	13
72	473	166	14808	13
73	477	1641	16567	13
74	450	322	15545	23
75	422	1816	13538	15
76	391	1723	3598	11
77	395	1606	7666	17
78	384	239	5992	11
79	406	446	13655	25
80	390	1495	12682	15
81	383	114	11435	13
82	315	174	4466	13
83	320	418	7590	13
84	331	542	11977	14
85	251	494	2742	17
86	296	285	17320	17
87	270	665	12934	17
88	228	1874	3999	11
89	222	569	2762	11
90	243	815	19460	15
91	230	380	12448	15
92	193	1641	12516	17
93	208	172	15026	19
94	190	1770	15865	19
95	173	1355	13269	17
96	180	1511	16563	17
97	152	901	6312	11
98	144	761	15331	14
99	159	479	18264	19
100	104	1615	3548	12
101	151	1002	18841	18
102	111	226	9294	19
103	99	1469	6235	23
104	117	1155	17873	17
105	94	1707	7782	13
106	82	155	2886	11
107	115	345	17220	15
108	54	1004	2028	9
109	65	87	5842	10
110	49	1091	3976	15
111	65	902	6783	17
112	449	1136	13059	12
113	414	1033	8364	17
114	387	1258	15479	19
115	355	1152	4164	21
116	368	923	14868	41
117	314	1349	11100	25
118	314	1071	13040	15
119	281	1215	10475	15
