index	center_x	center_y	area	snakeiterations
0	1028	994	2059	18
1	1010	648	1605	23
2	1010	1583	5017	23
3	1033	1845	5308	21
4	994	470	2990	37
5	958	832	1629	19
6	985	1774	7668	27
7	948	1687	1564	12
8	929	952	1022	17
9	972	1047	8749	35
10	940	1123	3643	37
11	1013	1502	6369	55
12	961	893	8180	29
13	959	600	8180	29
14	950	1197	7458	23
15	910	1418	1094	21
16	894	1814	1166	16
17	903	1602	6182	34
18	898	791	5413	24
19	885	1482	7324	21
20	884	1678	5809	29
21	908	1272	9689	25
22	853	1866	668	9
23	878	1844	416	12
24	869	856	6098	36
25	870	1355	5971	22
26	860	924	3282	19
27	871	722	4372	32
28	860	660	7988	29
29	856	999	8412	31
30	837	1558	4932	39
31	816	1467	3608	8
32	829	1403	4264	58
33	829	1403	4270	71
34	811	1761	3687	58
35	856	1775	2167	24
36	825	1827	3615	27
37	826	1163	8885	35
38	795	1321	3740	35
39	781	84	6382	24
40	768	1202	2012	14
41	763	881	1906	17
42	793	787	9358	31
43	749	607	4212	23
44	737	1588	1454	17
45	754	1677	3901	19
46	723	683	2192	17
47	763	1257	8152	68
48	763	1257	8146	113
49	741	1820	2042	48
50	757	1819	1132	17
51	725	919	2747	25
52	731	1864	3996	21
53	728	979	5501	19
54	709	1428	1298	8
55	705	1638	3854	18
56	706	1509	7469	42
57	690	1375	3557	20
58	690	1052	8928	35
59	673	1130	5661	27
60	671	1681	2281	19
61	700	1770	7920	47
62	681	518	10250	31
63	639	1387	2004	16
64	643	1471	3827	65
65	643	1469	3653	54
66	634	729	7685	20
67	634	658	4307	17
68	629	885	8430	27
69	693	834	6594	35
70	643	597	9680	25
71	619	1590	5878	25
72	608	1240	2464	39
73	561	208	2199	35
74	610	1870	6851	23
75	598	301	7926	25
76	597	81	9274	30
77	619	165	8319	24
78	637	237	5497	33
79	587	1327	7250	32
80	592	373	6657	103
81	592	373	6657	47
82	554	498	2023	20
83	576	1419	7827	33
84	589	1816	8077	17
85	575	1648	8918	31
86	553	1089	6521	17
87	569	1737	9339	33
88	550	677	5114	25
89	554	1175	8115	23
90	542	1496	7932	28
91	536	754	6983	21
92	506	1571	1465	38
93	520	1569	2221	42
94	503	952	836	15
95	499	55	3883	22
96	494	1354	925	6
97	481	1438	2955	41
98	481	1438	2953	61
99	483	571	4397	28
100	489	1267	2793	16
101	491	152	13286	59
102	474	999	5765	37
103	486	266	9045	114
104	512	388	15964	152
105	486	266	9047	75
106	531	423	9422	41
107	449	1759	4845	31
108	449	1615	3720	37
109	435	633	7535	23
110	450	885	8356	19
111	435	1211	8486	25
112	642	964	4780	55
113	423	1688	6933	25
114	411	1560	5715	42
115	409	533	7288	29
116	400	1316	7556	27
117	396	938	6279	19
118	412	474	3521	29
119	971	182	4501	30
120	976	261	9038	40
121	948	360	1160	21
122	906	398	4176	21
123	894	241	3399	37
124	870	452	2931	21
125	867	172	8754	25
126	958	104	8939	21
127	821	286	9230	53
128	808	360	9010	37
129	772	426	9889	37
130	836	509	5173	37
131	402	1488	7743	46
132	367	1650	1902	18
133	383	1022	8420	13
134	407	1062	16081	151
135	356	778	2236	31
136	368	1386	7450	41
137	364	419	9454	37
138	322	120	2764	19
139	320	1764	4436	26
140	318	841	8918	18
141	300	1232	2719	29
142	323	314	14838	96
143	323	314	14843	126
144	275	1076	2707	27
145	283	227	3139	57
146	289	226	3426	65
147	296	167	6693	21
148	288	1150	6754	25
149	287	1512	8126	29
150	318	1595	6960	59
151	252	1384	2647	22
152	271	1808	7775	23
153	238	1732	1462	26
154	246	1737	1438	29
155	228	841	1479	29
156	250	1681	8537	27
157	238	939	7101	25
158	239	788	4135	15
159	194	1827	2619	19
160	221	1236	6350	31
161	207	1167	6145	26
162	252	693	23531	122
163	287	594	8202	43
164	321	711	8038	68
165	191	1103	4391	24
166	163	1269	1693	17
167	188	589	5073	30
168	179	1034	9946	28
169	164	1749	7801	41
170	148	1639	1515	15
171	145	1589	3634	39
172	145	1589	3633	62
173	145	1590	3743	68
174	141	560	2584	27
175	161	317	6024	39
176	161	317	6018	101
177	148	862	2293	21
178	141	952	5247	13
179	119	1884	1423	21
180	150	389	7608	45
181	136	476	8257	109
182	136	475	8694	59
183	182	491	15341	165
184	177	1343	25008	163
185	174	1345	23910	0
186	227	1319	9531	43
187	87	813	1666	17
188	59	1868	134	1
189	80	328	3590	23
190	78	96	3969	19
191	34	1880	568	1
192	61	1080	5794	29
193	93	1176	9106	31
194	61	1248	5707	23
195	130	199	32517	45
196	49	388	6224	39
