index	center_x	center_y	area	snakeiterations
0	1027	74	801	9
1	1033	763	3870	13
2	1020	181	2371	22
3	1012	1722	2059	11
4	1024	1598	7587	24
5	1002	131	2488	8
6	998	253	4483	63
7	1009	377	7820	22
8	980	506	5783	34
9	961	1901	586	3
10	971	1710	3897	7
11	969	1299	2419	17
12	978	1214	14238	40
13	982	621	18079	57
14	923	1879	2637	14
15	932	448	5205	11
16	969	1109	11983	46
17	938	192	6732	23
18	949	776	14643	67
19	933	1632	14605	83
20	891	1207	1497	10
21	918	1462	9253	41
22	906	1773	6744	13
23	892	1334	4736	34
24	905	326	16269	65
25	938	978	16310	48
26	869	1412	5091	13
27	856	1085	4391	12
28	864	756	6663	23
29	886	913	14041	55
30	880	548	14049	71
31	832	856	4736	17
32	841	657	9456	24
33	838	1282	10854	36
34	792	1374	6305	19
35	786	1044	5403	10
36	813	1562	17549	45
37	791	1738	11290	47
38	752	1675	2004	9
39	741	1841	869	11
40	753	889	1808	21
41	768	958	9608	39
42	773	766	14939	53
43	735	1255	5176	21
44	767	1154	16409	68
45	739	151	11213	36
46	748	1477	11957	31
47	740	259	10471	41
48	697	864	8382	27
49	696	495	14089	47
50	677	64	4536	9
51	670	1100	11934	37
52	665	1748	822	1
53	641	1199	4176	7
54	677	1651	19504	59
55	694	368	16974	63
56	636	1567	4634	19
57	624	445	1761	16
58	666	1816	15281	52
59	662	1450	15433	51
60	647	988	15419	51
61	620	285	10567	47
62	639	658	14326	55
63	574	1560	1762	14
64	598	606	6165	16
65	613	176	14297	56
66	563	413	4389	8
67	550	1865	3908	15
68	538	254	3287	14
69	566	1114	9146	26
70	537	877	5413	18
71	550	1651	10511	38
72	548	1358	12447	37
73	553	1751	10338	36
74	517	695	1886	11
75	562	534	14720	44
76	509	488	4298	11
77	482	1435	4281	17
78	539	776	17848	66
79	523	1229	15551	58
80	644	1286	12082	37
81	446	743	1805	13
82	468	640	12338	61
83	463	174	14194	65
84	443	1343	9909	28
85	448	922	14574	64
86	503	363	14105	67
87	427	519	12407	39
88	405	309	8757	20
89	368	632	1978	28
90	400	830	8921	36
91	417	1590	14094	45
92	369	177	9385	28
93	346	284	4073	15
94	344	1224	4435	20
95	383	1471	13859	71
96	364	1834	10372	34
97	368	1718	14875	51
98	290	295	2961	15
99	296	1667	5103	17
100	275	730	1827	14
101	417	1078	17466	68
102	326	1018	11928	33
103	286	1303	4559	12
104	362	732	16213	54
105	311	608	14890	53
106	314	404	12860	55
107	264	1246	5274	12
108	288	179	14521	40
109	254	493	7035	17
110	206	579	2298	11
111	194	460	1996	9
112	196	1322	2427	10
113	222	1737	9356	31
114	193	1526	4173	12
115	215	1406	14569	72
116	241	830	14127	62
117	236	982	15992	65
118	205	725	8620	39
119	212	362	13399	51
120	165	960	3649	9
121	152	1805	2097	6
122	154	887	4539	8
123	156	153	13398	70
124	126	1071	1540	12
125	113	1880	805	5
126	126	1838	1248	9
127	146	520	11989	42
128	125	1385	4711	17
129	109	49	2848	12
130	115	825	8722	21
131	118	657	12853	89
132	94	264	3141	16
133	110	1505	10110	38
134	61	1341	4546	5
135	82	952	10044	31
136	112	1612	14896	48
137	271	1146	17033	72
138	157	1262	13323	48
