index	center_x	center_y	area	snakeiterations
0	991	351	3614	19
1	983	1403	2976	16
2	1010	599	15981	88
3	998	459	8866	25
4	961	1298	8363	29
5	935	427	2983	15
6	939	773	946	7
7	932	1396	3935	26
8	963	1115	12492	36
9	968	232	16468	61
10	920	326	6322	11
11	910	518	6996	21
12	886	1168	3858	13
13	925	672	16932	69
14	896	131	7285	27
15	883	1827	2450	11
16	862	570	3312	5
17	861	215	3592	17
18	848	1403	7193	17
19	832	679	6563	21
20	856	1314	8142	20
21	858	395	12537	50
22	822	1186	5434	15
23	812	151	3035	16
24	843	1550	16252	58
25	823	909	15177	60
26	802	462	9459	40
27	799	268	15625	65
28	768	655	3008	10
29	990	1743	8980	38
30	827	1777	12605	69
31	777	560	11685	31
32	759	1644	9788	25
33	727	880	4848	29
34	720	1553	7087	33
35	706	1835	5393	15
36	713	997	7597	35
37	675	1654	3486	13
38	672	942	3309	19
39	1037	986	3138	20
40	951	1007	6939	55
41	810	1090	18219	81
42	725	1355	11248	28
43	712	1220	16397	48
44	641	1172	3313	9
45	663	118	11971	39
46	644	258	12453	43
47	633	416	10261	29
48	592	114	3745	17
49	589	503	3373	29
50	582	310	4402	30
51	592	1057	9212	36
52	592	862	15546	43
53	573	974	6968	23
54	600	1564	18036	51
55	553	220	6164	28
56	541	386	10759	42
57	571	1687	17065	75
58	563	1208	10518	51
59	525	581	10109	45
60	494	1586	4869	11
61	514	100	15887	57
62	497	919	4925	24
63	499	483	8032	32
64	687	650	14688	63
65	497	1423	14848	49
66	454	393	4855	22
67	518	1830	20691	126
68	453	971	3831	24
69	433	1710	3945	24
70	465	1068	16840	56
71	460	277	16021	58
72	411	523	2419	24
73	435	626	14567	64
74	386	1402	3309	12
75	441	827	14063	46
76	396	1492	10533	35
77	373	1859	3223	25
78	365	985	4580	37
79	374	900	10217	39
80	379	440	13849	54
81	355	133	11117	43
82	320	1455	2955	10
83	351	1793	8032	21
84	320	1558	5839	15
85	276	1267	3408	15
86	279	316	6973	19
87	288	747	5232	14
88	261	1817	3405	12
89	436	1639	7118	31
90	326	1705	9381	27
91	271	1357	6626	14
92	305	1102	12404	37
93	287	197	17195	52
94	309	694	9128	20
95	269	891	8871	46
96	246	1028	5614	20
97	210	686	2546	10
98	210	534	11835	51
99	178	1138	2918	16
100	232	1511	12266	43
101	207	1627	13939	61
102	181	1418	5000	22
103	150	951	3538	23
104	175	164	15705	62
105	148	259	3242	28
106	162	1800	5678	13
107	140	559	4719	17
108	157	1063	10309	36
109	126	1392	2617	7
110	113	1880	837	6
111	140	662	5664	20
112	100	1638	4320	18
113	97	490	3726	15
114	121	791	13863	51
115	207	359	14506	49
116	119	424	11397	41
117	83	1318	8020	25
118	50	839	2385	9
119	61	1081	5720	19
120	388	1310	14980	50
121	186	1310	13716	41
