index	center_x	center_y	area	snakeiterations
0	1015	147	4298	7
1	1015	677	9290	32
2	989	1684	16167	85
3	996	1120	15675	59
4	960	1056	525	2
5	984	1830	10691	50
6	974	538	17884	67
7	954	246	17607	93
8	946	86	14058	54
9	946	1481	16494	62
10	907	1626	5894	17
11	939	821	15852	69
12	895	1240	14703	47
13	882	926	9573	36
14	866	594	13697	42
15	846	147	11156	41
16	829	1635	3866	13
17	847	313	19279	72
18	891	1013	19379	62
19	883	711	20172	72
20	866	1738	18167	76
21	819	879	4707	19
22	844	1146	13965	39
23	839	1533	13582	57
24	780	512	1314	27
25	791	1331	12118	55
26	767	1249	5583	17
27	754	1749	8962	35
28	760	426	11425	56
29	759	809	17305	55
30	730	1611	13829	47
31	729	287	18812	64
32	690	1388	10303	31
33	729	94	15602	55
34	716	955	16891	74
35	672	1286	5080	16
36	674	1783	14202	43
37	697	1188	14161	65
38	707	1071	13766	53
39	656	203	16645	88
40	689	598	16207	50
41	631	708	5530	17
42	612	349	4798	14
43	632	456	15568	66
44	576	577	1348	7
45	599	1418	17043	76
46	581	817	16093	86
47	530	361	6380	29
48	550	1174	16756	70
49	552	1714	17236	82
50	550	226	18219	77
51	531	958	19441	66
52	513	511	18105	70
53	504	739	20313	71
54	464	1544	12299	57
55	422	918	10457	46
56	447	1813	16215	57
57	521	1315	12960	49
58	446	1421	16846	67
59	428	464	13772	49
60	421	1265	16644	57
61	419	715	11342	51
62	430	339	15522	75
63	371	1584	15622	59
64	357	92	16080	46
65	349	594	15016	49
66	319	1324	10704	49
67	428	1052	10468	35
68	321	1123	15708	85
69	318	962	16368	67
70	332	816	13615	69
71	280	1564	4038	11
72	277	691	5420	15
73	242	1525	564	1
74	299	1452	15606	76
75	303	485	15815	66
76	280	1673	15383	59
77	215	1161	12279	49
78	225	235	17024	65
79	205	661	17501	123
80	202	998	11203	68
81	183	1514	16247	48
82	158	1633	2443	15
83	176	1313	14008	52
84	212	1728	8860	57
85	174	1812	8523	53
86	186	135	19315	67
87	162	905	15473	82
88	124	1060	5288	23
89	107	393	4993	6
90	73	1839	919	10
91	97	1718	16760	56
92	95	299	13691	61
93	101	1222	16617	89
94	72	1369	9693	36
95	84	1540	14916	83
