index	center_x	center_y	area	snakeiterations
0	1022	328	3892	24
1	1010	806	2176	17
2	990	1412	2038	7
3	997	666	3315	7
4	979	727	5212	16
5	999	581	9399	42
6	957	1727	1649	9
7	991	996	14584	71
8	994	1324	14758	51
9	984	1493	13065	55
10	947	871	7520	41
11	969	1856	5648	17
12	914	1460	1843	11
13	960	1155	10952	33
14	928	1804	8997	29
15	900	337	4289	15
16	941	139	12714	35
17	887	1523	2872	16
18	888	1268	12312	45
19	863	1194	3227	9
20	888	1109	5269	15
21	847	1883	2917	18
22	890	249	14193	67
23	823	1353	2405	11
24	807	1515	1343	13
25	939	1615	11773	43
26	840	1577	8253	44
27	852	1028	14088	48
28	826	169	4804	7
29	854	1441	12137	58
30	821	1776	9412	40
31	794	1688	9455	57
32	808	340	11411	57
33	744	1766	1810	14
34	796	788	9528	32
35	754	1842	2929	10
36	796	682	15344	76
37	785	560	11936	41
38	795	1164	7909	45
39	776	1272	10658	45
40	743	1385	11054	57
41	738	231	6467	21
42	708	663	3089	16
43	756	123	12009	44
44	702	796	2395	9
45	720	1602	10506	38
46	753	887	15868	59
47	683	1744	13468	55
48	669	52	5237	10
49	653	1853	7527	44
50	701	1018	10034	41
51	639	314	2807	16
52	644	628	6686	21
53	604	1078	2956	7
54	608	459	2608	13
55	587	1472	1466	9
56	621	747	10131	33
57	710	450	11300	43
58	626	386	9875	19
59	608	1381	10827	31
60	614	1169	12677	87
61	595	126	10012	37
62	598	251	12449	60
63	586	880	11181	38
64	548	353	5954	14
65	550	1069	7601	26
66	599	550	14428	61
67	531	806	2565	9
68	570	1561	13499	77
69	551	1274	9071	25
70	521	504	10297	33
71	481	1593	1721	14
72	533	1658	8653	35
73	519	1754	10594	33
74	473	1848	1843	9
75	476	620	3393	14
76	495	1362	9928	52
77	488	1480	10065	35
78	472	1035	10120	30
79	444	1288	3066	16
80	478	1175	11453	61
81	456	927	6360	22
82	548	690	11957	46
83	465	770	11071	33
84	436	1446	2075	18
85	440	265	9451	25
86	407	1328	1977	24
87	429	1648	7489	33
88	422	1769	6868	22
89	386	1719	1416	5
90	372	1220	1478	11
91	360	299	1660	9
92	379	1522	6898	21
93	366	1403	12249	56
94	342	1760	2595	12
95	343	649	1754	17
96	360	1132	8286	20
97	436	151	8738	53
98	352	220	9440	46
99	317	456	987	7
100	339	1689	5618	13
101	337	108	7740	23
102	311	1238	11640	42
103	313	731	9863	35
104	275	1527	2526	10
105	368	922	10060	34
106	315	1024	11368	54
107	272	1118	5890	20
108	389	382	15601	63
109	354	482	1757	21
110	371	548	9480	43
111	287	594	8422	29
112	388	371	1176	1
113	259	1453	2778	7
114	248	410	6754	24
115	330	1825	7090	16
116	251	1769	10070	37
117	186	278	1769	27
118	217	783	6431	27
119	218	680	11306	70
120	211	879	11283	56
121	233	198	11301	49
122	205	1590	10618	33
123	194	1483	8736	28
124	206	1244	11416	78
125	219	1364	9589	51
126	190	1312	742	1
127	147	813	3656	9
128	194	492	12078	39
129	157	568	8017	30
130	152	1017	10701	39
131	114	1883	2298	35
132	107	635	4653	27
133	253	307	11387	43
134	133	286	6010	132
135	139	385	6606	24
136	116	312	6682	25
137	95	886	2686	17
138	67	581	1339	14
139	96	1128	8709	18
140	59	377	1195	11
141	84	956	8066	33
142	75	1694	9933	50
143	53	1770	2229	11
144	81	1469	10296	47
145	91	740	9008	34
146	170	98	6483	16
147	83	148	9700	41
148	44	1376	1775	15
149	75	1311	9703	41
150	95	529	1201	19
151	67	446	9574	31
152	41	1055	6357	19
