index	center_x	center_y	area	snakeiterations
0	1012	1819	11237	47
1	964	981	5729	16
2	969	1708	5308	19
3	966	848	10020	29
4	979	1620	9124	29
5	973	1072	10206	45
6	958	188	10949	47
7	961	666	12651	71
8	941	480	10214	35
9	919	1436	12617	37
10	906	1262	11577	41
11	883	863	11407	37
12	874	726	11313	39
13	857	1839	6290	33
14	856	447	5662	14
15	964	331	13523	48
16	871	264	11666	47
17	873	1557	12189	49
18	873	989	10114	35
19	862	1696	11714	46
20	855	548	12111	48
21	822	1269	3494	29
22	843	161	9410	29
23	822	1434	4262	18
24	805	1209	5816	10
25	788	679	5389	10
26	801	1351	11598	33
27	800	791	8065	17
28	768	1621	2970	14
29	766	1721	4279	24
30	947	79	13492	43
31	804	77	11998	53
32	762	1532	11653	38
33	750	559	10066	32
34	765	875	11838	31
35	717	714	9305	31
36	694	56	923	10
37	710	1030	9603	26
38	800	1125	12222	33
39	715	1179	9690	34
40	683	806	3692	10
41	680	600	6309	13
42	696	1362	13682	43
43	632	361	925	10
44	668	1463	7981	26
45	659	473	13253	41
46	628	1030	7643	18
47	604	564	5592	14
48	629	1243	9643	29
49	612	916	12746	49
50	622	698	14557	52
51	613	1118	8712	32
52	615	1511	12778	39
53	769	379	11777	41
54	717	276	14455	57
55	666	151	13098	37
56	611	284	10600	31
57	571	157	11890	29
58	573	1310	10657	29
59	537	1424	4082	15
60	544	1014	8905	26
61	529	1202	6348	24
62	557	398	11116	33
63	531	523	12336	51
64	644	1700	12508	41
65	529	1633	13623	56
66	501	894	12286	46
67	485	745	12334	47
68	474	1505	6239	19
69	485	188	13492	33
70	400	1563	3849	19
71	453	1274	11579	65
72	413	797	5580	11
73	438	1376	11525	37
74	430	1807	13928	43
75	408	1152	11082	31
76	403	411	14737	44
77	378	699	9108	24
78	380	1704	12943	45
79	338	1059	6237	15
80	312	1318	2289	17
81	325	355	4842	15
82	436	1055	12501	33
83	343	937	10543	31
84	352	151	3530	17
85	340	589	14604	51
86	292	87	1969	24
87	314	1610	12148	54
88	273	985	7151	15
89	272	655	8336	27
90	295	1416	12476	81
91	256	1072	5497	15
92	300	1172	13632	61
93	240	1703	4125	10
94	292	760	12972	40
95	273	419	14498	45
96	266	1513	13036	65
97	283	254	30477	81
98	289	250	655	1
99	205	1311	7194	21
100	191	1604	5831	19
101	194	559	10795	37
102	182	976	9251	26
103	174	684	12920	42
104	170	1465	9056	36
105	115	1883	1455	67
106	193	872	13475	43
107	175	1800	9451	55
108	142	1374	9639	23
109	163	1083	11564	33
110	144	1715	11107	33
111	119	100	5375	11
112	94	936	12939	46
113	108	1530	10894	36
114	172	370	10410	34
115	98	285	13510	36
116	75	638	9851	39
117	70	56	4077	18
