index	center_x	center_y	area	snakeiterations
0	1051	1461	1739	14
1	1002	1359	2547	9
2	957	974	3242	6
3	968	1223	16308	61
4	945	1101	8453	19
5	814	840	6516	12
6	975	722	13224	40
7	904	853	16398	50
8	892	1021	12527	36
9	800	961	14930	71
10	767	1296	13613	32
11	719	1514	2603	9
12	694	1178	14281	47
13	631	676	2171	6
14	689	1378	16347	49
15	628	1267	10325	39
16	617	1074	14083	35
17	572	949	10037	33
18	565	1171	7290	13
19	857	1545	15356	107
20	793	1455	15326	39
21	749	1723	46893	95
22	641	1538	11601	33
23	586	1626	15601	75
24	754	1664	921	1
25	694	1714	479	1
26	523	993	3031	7
27	620	1424	6543	16
28	537	1457	13916	51
29	524	1328	13999	44
30	483	1206	13951	45
31	484	1067	13259	55
32	465	917	12176	39
33	469	790	11793	39
34	414	1694	2213	7
35	382	896	1994	21
36	423	1765	8959	21
37	418	1858	11993	37
38	316	1052	9647	33
39	330	1394	12601	43
40	296	896	12897	64
41	295	744	14378	52
42	892	569	26295	146
43	766	668	27636	113
44	722	821	14287	57
45	744	272	35407	149
46	637	751	9574	28
47	658	509	42792	142
48	537	631	16612	45
49	471	529	10796	49
50	445	428	16417	59
51	370	260	9646	37
52	334	170	14087	51
53	319	73	14324	43
54	991	460	717	1
55	950	96	633	1
56	909	550	1095	1
57	850	485	1829	1
58	782	674	1334	1
59	782	131	1683	1
60	708	400	784	1
61	645	357	478	1
62	674	61	1024	1
63	620	189	871	1
64	630	509	1250	1
65	494	319	1785	1
66	429	82	581	1
67	274	1270	13510	43
68	242	1008	8608	36
69	281	1156	14043	39
70	219	1407	9185	27
71	253	620	15952	47
72	232	510	14850	44
73	282	1497	10584	36
74	203	1569	11638	37
75	195	841	12920	35
76	162	995	14859	55
77	132	608	3404	7
78	158	1172	13696	41
79	197	392	13917	39
80	119	447	3802	11
81	156	1289	11786	41
82	99	911	2742	5
83	78	1206	2584	9
84	124	216	8129	29
85	94	1067	8269	26
86	84	1346	8301	18
87	181	709	9939	25
88	95	782	15871	45
89	112	1453	15901	50
90	86	129	11972	46
91	400	1562	16734	63
92	326	1633	9934	25
93	285	1731	19741	93
94	131	1683	14674	53
95	80	1566	14971	59
96	139	300	11376	85
