index	center_x	center_y	area	snakeiterations
0	1042	1384	2035	19
1	1020	1197	1983	14
2	1020	133	1926	5
3	998	542	2988	22
4	997	1425	4592	6
5	997	152	722	2
6	997	908	2841	17
7	988	465	2793	21
8	1010	1596	5787	13
9	988	207	5528	11
10	971	1676	1474	17
11	972	1280	8852	27
12	953	1199	4520	7
13	932	1427	1471	21
14	955	309	6273	27
15	946	1552	4700	13
16	913	1599	1946	11
17	1020	1144	3646	28
18	962	1084	8374	28
19	966	756	2017	18
20	931	846	9687	36
21	908	1379	3594	10
22	919	109	9830	34
23	876	1177	2263	17
24	848	1062	1077	21
25	878	194	6027	15
26	886	1127	7647	16
27	926	549	10300	31
28	877	614	2463	18
29	885	757	8099	33
30	880	495	3710	18
31	893	666	9074	23
32	834	122	1002	9
33	865	1246	7477	23
34	829	1896	1438	9
35	821	1358	3281	14
36	904	1727	13214	40
37	849	1832	9116	23
38	832	1570	6845	26
39	792	1790	2044	17
40	794	1732	2985	7
41	827	1427	8031	25
42	776	197	6539	28
43	784	1197	7713	29
44	724	1014	1721	10
45	749	1143	7015	11
46	842	990	8429	25
47	753	955	9523	33
48	704	1473	2368	19
49	695	202	1657	20
50	733	1350	8455	32
51	695	142	1614	11
52	693	899	2632	22
53	684	807	2719	6
54	675	578	1642	9
55	679	1147	3777	16
56	712	1827	5299	13
57	708	1740	10145	44
58	691	655	8584	29
59	639	680	1336	7
60	1012	395	7689	41
61	896	419	10651	31
62	858	292	6624	46
63	835	369	3063	26
64	816	248	2327	23
65	798	555	5810	38
66	744	485	9665	46
67	745	358	14368	61
68	665	308	9479	57
69	812	610	2804	43
70	630	1781	3232	41
71	640	1425	6592	25
72	617	421	1485	14
73	769	1062	4947	20
74	657	1084	10180	25
75	630	157	9884	33
76	667	1611	6311	14
77	604	1574	3662	14
78	626	1839	4478	6
79	594	1885	3244	18
80	618	1015	8087	24
81	612	920	7177	33
82	555	1387	1670	9
83	550	1564	1713	18
84	569	1443	4101	7
85	604	531	14172	40
86	577	644	7429	27
87	562	1331	5828	14
88	755	730	4054	22
89	747	806	9396	56
90	585	754	16594	46
91	536	352	3136	16
92	516	1766	1183	19
93	541	1627	4866	5
94	504	1425	2947	15
95	494	1588	2625	14
96	479	495	1622	15
97	541	1727	8947	25
98	507	1164	7992	43
99	488	423	7812	22
100	456	1762	2829	16
101	451	370	2537	15
102	488	920	9474	26
103	442	681	3953	17
104	433	1627	3338	28
105	462	1356	7223	20
106	444	1804	2019	17
107	485	1864	8623	35
108	421	1159	1453	9
109	434	1428	4116	9
110	439	1095	5625	13
111	410	1256	2193	13
112	416	1039	2144	15
113	398	1218	758	11
114	379	1881	2559	45
115	380	1003	2127	23
116	374	161	8030	31
117	356	253	4525	23
118	356	1408	7310	23
119	357	1825	7121	48
120	404	558	21955	72
121	375	574	1006	1
122	337	1265	3747	22
123	349	1104	7161	28
124	545	114	2797	15
125	522	168	8069	27
126	461	206	1163	11
127	474	277	15325	41
128	417	80	8222	19
129	360	23	1176	13
130	352	346	8030	17
131	323	1208	2381	15
132	426	1554	7612	32
133	338	1590	8219	25
134	408	450	2910	22
135	325	426	8479	22
136	320	972	5222	11
137	291	1681	2103	12
138	296	1040	3587	15
139	271	270	3949	8
140	274	1419	3723	11
141	273	173	9245	31
142	256	1270	5700	11
143	267	53	7210	14
144	235	108	2678	12
145	216	1682	2170	28
146	227	610	2822	11
147	212	1231	1966	18
148	357	1737	8093	21
149	248	1749	9967	24
150	233	1083	5782	12
151	210	918	6938	31
152	212	786	4233	14
153	239	837	6076	21
154	192	483	2235	8
155	166	1288	4853	22
156	172	1535	2598	12
157	200	1188	7466	31
158	146	253	1962	23
159	188	675	9836	43
160	147	987	6206	19
161	113	1880	831	5
162	146	1471	7996	38
163	116	819	2288	29
164	109	72	2407	13
165	151	1649	7407	24
166	94	960	2185	12
167	147	562	16110	36
168	72	1433	1858	13
169	88	1215	3549	23
170	107	244	1266	12
171	109	172	6261	12
172	61	223	2366	19
173	94	762	10418	41
174	64	688	5932	13
175	162	431	7510	23
176	91	410	1808	17
177	71	491	6357	31
178	62	1039	8061	41
179	151	332	8370	23
180	54	1511	6154	15
181	81	1293	8275	25
182	20	1306	897	4
