index	center_x	center_y	area	snakeiterations
0	1015	1288	1877	30
1	1016	1832	1059	9
2	991	626	4100	20
3	987	255	4974	6
4	994	691	3991	14
5	994	528	10326	29
6	1016	175	3436	16
7	967	76	10321	37
8	955	175	3841	11
9	975	1687	10633	33
10	924	403	1563	7
11	908	1394	1154	5
12	947	792	11417	37
13	915	901	2776	11
14	930	1019	11587	62
15	886	1901	1114	5
16	896	1298	10257	36
17	851	1753	4000	6
18	850	211	6012	12
19	835	1357	4539	7
20	853	314	12936	43
21	870	1661	13950	77
22	883	1628	505	1
23	788	394	3132	7
24	785	235	3545	5
25	822	537	16027	111
26	803	102	11866	57
27	841	1439	7899	25
28	777	1492	4397	13
29	811	695	12476	53
30	796	836	14702	61
31	747	161	3663	6
32	741	564	3018	7
33	731	604	781	1
34	727	898	3743	10
35	977	1417	6436	45
36	771	1581	14918	81
37	717	776	4500	7
38	729	277	13245	53
39	689	339	3926	10
40	698	671	11915	49
41	685	434	16440	47
42	639	1355	1097	2
43	657	898	7855	25
44	634	822	4277	10
45	791	1010	17442	107
46	695	1161	14383	65
47	675	1014	15682	67
48	633	738	6564	18
49	600	1101	3466	6
50	587	975	4099	11
51	551	1738	5845	23
52	560	821	15445	73
53	552	112	10175	41
54	526	244	10083	35
55	513	1150	3985	9
56	509	929	11125	48
57	605	1205	6559	11
58	513	1240	14424	62
59	701	1449	19768	97
60	606	1634	18184	57
61	648	1441	600	1
62	524	1524	5835	69
63	484	567	11117	61
64	433	1296	3357	11
65	446	436	4250	15
66	487	1066	17560	65
67	552	425	9015	25
68	524	314	2928	13
69	462	336	11926	35
70	492	1663	10005	41
71	487	1787	4501	11
72	413	1731	3284	11
73	404	821	13328	45
74	400	1183	11277	67
75	371	672	3802	13
76	366	929	4306	9
77	381	580	8939	25
78	905	1841	10348	45
79	685	1843	19632	0
80	727	1776	11311	51
81	402	1827	10690	40
82	895	1791	843	1
83	351	1621	4617	5
84	376	471	16932	57
85	340	1785	4507	3
86	327	845	3048	25
87	331	1027	7892	21
88	389	1502	17217	79
89	319	1323	14195	69
90	292	684	4589	23
91	293	583	10235	39
92	423	200	5536	15
93	370	238	5426	41
94	323	311	12555	43
95	271	1154	4199	9
96	285	916	7942	17
97	266	442	7978	29
98	268	1676	11698	38
99	237	1406	3623	13
100	258	789	11480	43
101	218	1772	3188	4
102	222	1094	13978	52
103	203	978	15155	45
104	167	655	4272	17
105	178	567	10823	53
106	125	1487	829	14
107	146	746	6982	20
108	128	1053	4317	10
109	150	1711	10720	42
110	137	1348	4358	17
111	107	611	4391	7
112	127	1834	4242	7
113	70	760	3519	12
114	67	958	4335	6
115	56	1708	5165	13
116	292	1532	6267	23
117	198	1548	15057	101
118	99	1600	6755	43
119	186	1578	547	1
120	121	194	19931	81
121	101	169	543	1
122	85	258	1078	1
123	65	128	890	1
124	151	1190	18349	62
