index	center_x	center_y	area	snakeiterations
0	1007	1283	7641	23
1	977	1540	14630	47
2	970	460	16913	57
3	984	277	21282	89
4	947	751	14673	51
5	969	1180	18076	64
6	918	1420	15397	67
7	886	1641	17195	66
8	896	1081	30542	108
9	859	923	12828	51
10	879	588	18154	66
11	873	379	20604	73
12	851	1300	19258	78
13	839	750	22996	87
14	784	610	4038	14
15	811	1468	21165	61
16	783	483	13267	38
17	758	957	15612	53
18	755	1584	13667	54
19	746	822	7433	20
20	772	1717	18397	65
21	791	197	27247	114
22	727	1309	11891	37
23	749	1140	24582	92
24	691	730	18555	60
25	690	592	18255	68
26	655	906	18440	71
27	626	498	2183	21
28	668	1438	18944	69
29	662	194	15376	52
30	626	1261	18150	63
31	628	1699	18046	71
32	619	362	17444	60
33	622	1572	15371	67
34	581	1796	9920	26
35	614	1104	22346	61
36	547	1340	8412	29
37	565	730	19698	81
38	553	248	17377	63
39	544	906	15730	55
40	528	1036	17010	66
41	518	1458	23941	76
42	484	1244	17012	53
43	492	62	10471	44
44	481	490	19814	82
45	443	1545	8065	19
46	477	1651	18993	55
47	461	822	10425	52
48	458	349	19459	71
49	418	1100	13865	45
50	395	1227	7650	29
51	394	946	20362	68
52	357	288	12788	56
53	421	174	21298	77
54	365	590	17971	55
55	373	1380	20709	72
56	341	1799	15805	58
57	325	465	14653	52
58	304	1280	12915	49
59	316	1509	19770	64
60	318	1645	19908	75
61	303	1104	20985	73
62	259	346	18306	93
63	281	720	21213	73
64	235	68	15367	51
65	242	898	13321	41
66	226	618	12582	45
67	207	1701	17150	51
68	192	522	15314	77
69	203	186	13424	57
70	196	1465	18268	58
71	203	1255	24937	82
72	160	1581	5840	16
73	151	427	10416	46
74	147	987	19268	59
75	125	1807	5504	16
76	130	787	16050	64
77	111	1357	11880	37
78	102	84	15132	61
79	58	932	5047	18
80	55	1832	2531	11
